shot,signal_ok,primary_p95,n_elms,n_elms_lower,n_elms_upper,both_live,coincidence_frac,elm_freq_hz,median_dt,mean_dt,cv_dt,min_dt,max_dt,weibull_k,t_first,t_last,window_s,t_lo,t_hi,dt_s
129015,True,1.1299999952316284,27,27,30,True,0.9259259259259259,51.80353241303602,0.009599998593330383,0.013369228977423448,0.7054254431897606,0.0,0.045399993658065796,1.6431431206079432,0.18700000643730164,0.5345999598503113,0.5211999788880348,0.05020000785589218,0.571399986743927,0.00020003318786621094
129038,False,0.1599999964237213,0,0,19,False,,,,,,,,,,,0.8685999419540167,9.313225746154785e-09,0.8685999512672424,0.00020003318786621094
132543,True,5.739999771118164,10,10,18,True,0.9,12.410027901306893,0.0363999605178833,0.043444441424475774,0.48618979555663605,0.022200047969818115,0.0934000015258789,2.199732652668461,0.5956000089645386,0.9865999817848206,0.8057999610900879,0.19040000438690186,0.9961999654769897,0.00020003318786621094
132588,True,0.699999988079071,25,25,0,False,,25.683173060757298,0.004100002348423004,0.0316166648020347,2.0723479014427832,-0.00020000338554382324,0.3155999779701233,0.039903513749057984,0.21620000898838043,0.9749999642372131,0.9733999744057655,0.034400008618831635,1.0077999830245972,0.00020003318786621094
138614,False,0.17499999701976776,0,0,0,False,,,,,,,,,,,1.0097999479621649,9.313225746154785e-09,1.0097999572753906,0.00020003318786621094
138617,False,0.14999999105930328,0,0,0,False,,,,,,,,,,,0.8979999925941229,9.313225746154785e-09,0.8980000019073486,0.00020003318786621094
138620,False,0.1599999964237213,0,0,0,False,,,,,,,,,,,0.9129999782890081,9.313225746154785e-09,0.9129999876022339,0.00020003318786621094
138748,True,0.429999977350235,13,13,0,False,,23.809524049299167,0.0070999860763549805,0.029516664644082386,2.2044596405916215,0.0,0.24279999732971191,0.5689967772286395,0.18700000643730164,0.5411999821662903,0.5459999945014715,9.313225746154785e-09,0.5460000038146973,0.00020003318786621094
138855,True,5.302499890327454,12,12,0,False,,22.514071616826893,0.024800002574920654,0.038163634863766754,1.2733503751673791,0.0006000101566314697,0.18559998273849487,0.8827316347186318,0.30379998683929443,0.7235999703407288,0.5329999923706055,0.20800000429153442,0.7409999966621399,0.00020003318786621094
139054,True,1.9824999272823334,17,17,28,True,0.8235294117647058,28.629168388468507,0.024800002574920654,0.026074998080730438,0.6803632625517935,0.00020003318786621094,0.06000000238418579,1.2721032857561543,0.24900001287460327,0.6661999821662903,0.5937999933958054,0.07680000364780426,0.6705999970436096,0.00020003318786621094
