shot,divertor,elm_index,onset_time,peak_time,amplitude,matched,interval_to_next
129015,lower,0,0.18700000643730164,0.1916000097990036,6.1547293736404916,False,0.045399993658065796
129015,lower,1,0.23240000009536743,0.2330000102519989,9.78011827365268,True,0.022200018167495728
129015,lower,2,0.25460001826286316,0.2549999952316284,7.672333708070961,True,0.023000001907348633
129015,lower,3,0.2776000201702118,0.2782000005245209,11.972214121350694,True,0.010799974203109741
129015,lower,4,0.28839999437332153,0.289000004529953,10.538919812699314,True,0.015599995851516724
129015,lower,5,0.30399999022483826,0.3046000003814697,7.92526805695472,True,0.013000011444091797
129015,lower,6,0.31700000166893005,0.31780001521110535,11.634967987815761,True,0.006399989128112793
129015,lower,7,0.32339999079704285,0.3240000009536743,10.876165946234247,True,0.008400022983551025
129015,lower,8,0.33180001378059387,0.33320000767707825,9.52718342223404,True,0.008399993181228638
129015,lower,9,0.3402000069618225,0.3409999907016754,8.8526931653037,True,0.0153999924659729
129015,lower,10,0.3555999994277954,0.3564000129699707,13.574128984095134,True,0.006999999284744263
129015,lower,11,0.3625999987125397,0.36320000886917114,10.285986971420199,True,0.005600005388259888
129015,lower,12,0.36820000410079956,0.36880001425743103,10.623231597350488,True,0.0067999958992004395
129015,lower,13,0.375,0.37560001015663147,9.948741340420147,True,0.007200002670288086
129015,lower,14,0.3822000026702881,0.3830000162124634,8.599758816419941,True,0.007400006055831909
129015,lower,15,0.38960000872612,0.3901999890804291,12.562393096164742,True,0.008799999952316284
129015,lower,16,0.3984000086784363,0.3991999924182892,13.827064338048656,True,0.00959998369216919
129015,lower,17,0.40799999237060547,0.40880000591278076,14.754488441327874,True,0.007600009441375732
129015,lower,18,0.4156000018119812,0.4164000153541565,11.044787002862188,True,0.01879999041557312
129015,lower,19,0.4343999922275543,0.4352000057697296,13.489818204513723,True,0.02619999647140503
129015,lower,20,0.46059998869895935,0.46160000562667847,23.017001124212882,True,0.026399999856948853
129015,lower,21,0.4869999885559082,0.48820000886917114,9.948739330280622,True,0.009600013494491577
129015,lower,22,0.4966000020503998,0.49939998984336853,86.166210728432,True,0.0
129015,lower,23,0.4966000020503998,0.5041999816894531,14.501554594978996,True,0.0031999945640563965
129015,lower,24,0.4997999966144562,0.5077999830245972,7.5880224259546685,False,0.013999968767166138
129015,lower,25,0.5137999653816223,0.5145999789237976,7.250776292419736,True,0.020799994468688965
129015,lower,26,0.5345999598503113,0.5351999402046204,11.213411074699417,True,
129015,upper,0,0.20680001378059387,0.20760001242160797,20.309657615196116,False,0.02559998631477356
129015,upper,1,0.23240000009536743,0.23280000686645508,11.31645225374872,True,0.021600008010864258
129015,upper,3,0.2540000081062317,0.2582000195980072,7.7191689477564855,True,0.0
129015,upper,4,0.2540000081062317,0.26180002093315125,8.468602132280552,True,0.0004000067710876465
129015,upper,2,0.25440001487731934,0.2549999952316284,24.956148272916867,True,0.009199976921081543
129015,upper,5,0.2635999917984009,0.26680001616477966,17.761582554327227,False,0.014000028371810913
