model,nrmse,std
1 time-only,1.1332277672506406,0.03467689703160803
2 +scalar,1.0683100031715247,0.018391148592603938
3 +flux-PCA,1.0843171227232444,0.047329345505169845
4 +persurf-PCA,1.0544441021209954,0.038861102924103136
5 +random(ctrl),1.0852352504126823,0.07713267080965755
